"","Participant","Condition","Roundnr","Subjective_performance","Self.efficacy","Fluency","corrected_tick","remaining_rocks","victim_harm","idle_ticks","Human_idle","Robot_idle","Time_score","success"
"318",4055,"C2",6,0,0,0,2575,22,1200,1,2180,54,4775,"fatal"
"319",4055,"C2",7,0,0,0,2724,14,500,1,2310,60,4124,"fatal"
"320",4055,"C2",8,0,0,0.2,3000,16,400,1,2627,61,4600,"timeout"
"321",4069,"C3",1,0,65,37.6,3000,30,1600,4,2614,127,6000,"timeout"
"322",4069,"C3",2,53,81,69.4,3000,11,900,1,2624,61,4100,"timeout"
"323",4069,"C3",3,60,89,63.4,2336,0,400,1,1945,167,2336,"win"
"324",4069,"C3",4,55,93,68.6,3000,11,1300,6,2663,72,4100,"timeout"
"325",4069,"C3",5,90,96,88.6,1897,0,400,1,1695,47,1897,"win"
"326",4069,"C3",6,60,77,68.8,1889,24,500,2,1731,39,4289,"fatal"
"327",4069,"C3",7,79,60,70,2391,9,500,1,2207,46,3291,"fatal"
"328",4069,"C3",8,55,46,41.6,2425,18,1700,1,2223,47,4225,"fatal"
"329",4070,"C3",1,3,30,20.6,3000,14,700,1,2662,50,4400,"timeout"
"330",4070,"C3",2,38,34,53.8,3000,12,0,1,2743,50,4200,"timeout"
"331",4070,"C3",3,0,23,7.6,3000,12,700,1,2568,50,4200,"timeout"
"332",4070,"C3",4,57,64,63,2003,0,0,1,1748,43,2003,"win"
"333",4070,"C3",5,37,42,41.8,1539,18,1100,1,1354,41,3339,"fatal"
"334",4070,"C3",6,21,19,13,3000,15,1000,4,2743,1073,4500,"timeout"
"335",4070,"C3",7,61,62,59.33333333,2229,0,0,3,1916,49,2229,"win"
"336",4070,"C3",8,61,62,64.4,1640,0,0,1,1343,43,1640,"win"
